"id","title.orig","title.Arab","title.Latn","language.main","language.other","date.onset","date.terminus","location.id","toponym","toponym.Arab","toponym.Latn","lat","long","holdings","digitised"
"jaraid:t1r1256","الرجاء","الرجاء","al-Rijāʾ","ar","NA","1902-07-09","","geon:361058","Alexandria","الإسكندرية","al-Iskandariyya","31.20176","29.91582","F","F"
"jaraid:t1r894","الحقائق","الحقائق","al-Ḥaqāʾiq","ar","NA","1902-08-15","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r1547","الخطيب","الخطيب","al-Khaṭīb","ar","NA","1902-09-01","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r2223","الرموز","الرموز","al-Rumūz","ar","NA","1902-09-01","","geon:3448439","Sao Paolo","سان باولو","Sao Paolo","-23.5475","-46.63611","F","F"
"jaraid:t1r1257","المصري","المصري","al-Miṣrī","ar","NA","1902-10-16","","geon:361058","Alexandria","الإسكندرية","al-Iskandariyya","31.20176","29.91582","F","F"
"jaraid:t1r2101","الراوي","الراوي","al-Rāwī","ar","NA","1902-10-27","","geon:5128581","New York City","نيويورك","New York City","40.71427","-74.00597","F","F"
"jaraid:t1r1548","المحيط","المحيط","al-Muḥīṭ","ar","NA","1902-11-01","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r895","بريد الاحد","بريد الاحد","Barīd al-Aḥad","ar","NA","1902-11-01","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r896","الاكسبريس","الاكسبريس","al-Iksibrīs","ar","NA","1902-11-03","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r2272","السلام","السلام","al-Salām","ar","NA","1902-11-17","","geon:3435910","Buenos Aires","بونس أيرس","Buenos Aires","-34.61315","-58.37723","F","F"
"jaraid:t1r897","الكلمة الحرة","الكلمة الحرة","al-Kalima al-Ḥurra","ar","NA","1902-11-20","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r1497","الاخبار","الاخبار","al-Akhbār","ar","NA","1902-11-30","","geon:2507480","Algiers","الجزائر","Algiers","36.73225","3.08746","F","F"
"jaraid:t1r899","الفريق","الفريق","al-Farīq","ar","NA","1902-12-01","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r900","الحرية","الحرية","al-Ḥurriyya","ar","NA","1902-12-01","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r3304","اكليل الورود","اكليل الورود","Iklīl al-Wurūd","ar","NA","1902-12-01","","geon:99072","Mosul","الموصل","Moṣūl","36.335","43.11889","F","F"
"jaraid:t1r898","الحوادث","الحوادث","al-Ḥawādith","ar","NA","1902-12-02","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r1906","المصري","المصري","al-Miṣrī","ar","NA","1902-12-04","","geon:361058","Alexandria","الإسكندرية","al-Iskandariyya","31.20176","29.91582","F","F"
